210

31

1591

Ianuarius Februarius Martius

Ρ. M. S.

20 52 43
21 53 59
22 55 14
23 56 28
24 57 41
25 58 55
27 0 7
28 1 18
29 2 28

3 37

4 45
2 5 52
3 6 58
4 8 3
5 9 7
6 10 10
7 11 11
8 12 11
9 13 10
10 14 8
11 15 4
12 15 59
13 16 52
14 17 44
15 18 35
16 19 24
17 20 12

‚ 18 20 58

19 21 42
20 22 25
21 23 5

Ρ. Μ. S.

22 23 46
23 24 25
24 25 2
25 25 36
26 26 7
27 26 37
28 27 4
29 27 29
)( 27 54
1 28 18
2 28 37
3 28 56
4 29 13
5 29 28
6 29 42
7 29 54
8 30 4
9 30 11
10 30 16
11 30 19
12 30 20
13 30 18
14 30 14
15 30 9
16 30 1
17 29 51
18 29 39
19 29 25

20 29 12
21 28 53
22 28 32
23 28 9
24 27 44
25 27 18
26 26 49
27 26 17
28 25 43
29 25 6
Ns 24 29
1 23 48
2 23 5
3 22 20
4 21 33
5 20 44
6 19 53
7 19 0
8 18
9 17
10 16
11 15
12 14 2
13 12 55
14 11 46
15 10 35
16 9 21
17 8 6
18 6 49
19 5 30
20 4 8

Aprilis

Ρ. Μ. S.

21 2 45
22 1 19
22 59 51
23 58 22
24 56 50
25 55 17
26 53 42
27 52 5
28 50 25
29 48 43
ἧς 47 o
1 45 15
2 43 27
3 41 37
4 39 46
5 37 51
6 35 57
7 34 1
8 32 3
9 30 3
10 28 1
11 25 58
12 23 53
13 21 46
14 19 38
15 17 28
16 15 17
17 13 4
18 10 51
19 8 36

EPHEMERIS SOLIS ANNI 1591

20 6 18
21 4 0
22 1 40
22 59 18
23 56 55
24 54 30
25 52 4
26 49 36
27 47 7
28 44 37
29 42 6
11 39 33
1 37 0
2 34 26
3 31 51
4 29 15
5 26 38
6 23 59
7 21 19
8 18 38
9 15 57
10 13 15
11 ιο 32
12 7 48
13 5 3
14 2 16
14 59 29
15 56 42
16 53 54
17 51 7
18 48 18

19 45 28
20 42 38
21 39 48
22 36 57
23 34 5
24 31 13
25 28 20
26 25 27
27 22 34
28 19 40
29 16 47
ΕΒ 13 53
1 10 59
2 8 5
3 5 11
4 2 16
4 59 21
5 56 26
6 53 32
7 50 38
8 47 44
9 44 49
10 41 55
11 39 2
12 36 7
13 33 13
14 30 20
15 27 27
16 24 34
17 21 41

 

1591

